Landowners | Budget | Expected Damage | Run Time | Allocation | Levels | Total Budget Used | Remaining Budget | Maximum Amount Offered | Level Amounts | Area of Each Landowner
3|4000|178.108385159|91.3322057196|[0, 0, 0]|2|0.0|4000.0|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|152.881059414|89.8707495432|[0, 1, 0]|2|9645.14295058|354.85704942|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|158.35848396|95.8035207549|[0, 1, 1]|3|9507.35519414|492.644805857|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|152.881059414|94.9752986833|[0, 2, 0]|4|9645.14295058|354.85704942|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|155.771068491|93.7853589389|[0, 2, 1]|5|9576.24907236|423.750927639|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|152.881059414|96.7155733477|[0, 3, 0]|6|9645.14295058|354.85704942|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|154.82536019|94.1124077169|[0, 3, 1]|7|9599.21369843|400.786301566|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|152.881059414|99.3916109037|[0, 4, 0]|8|9645.14295058|354.85704942|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|10000|154.343516629|102.292389007|[0, 4, 1]|9|9610.69601147|389.30398853|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|152.881059414|112.245012505|[0, 1, 0]|2|9645.14295058|1354.85704942|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|158.35848396|118.775440779|[0, 1, 1]|3|9507.35519414|1492.64480586|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|152.881059414|122.780266241|[0, 2, 0]|4|9645.14295058|1354.85704942|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|155.771068491|112.267628008|[0, 2, 1]|5|9576.24907236|1423.75092764|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|152.881059414|126.083623346|[0, 3, 0]|6|9645.14295058|1354.85704942|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|154.82536019|116.417437807|[0, 3, 1]|7|9599.21369843|1400.78630157|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|151.008230506|101.317839574|[0, 4, 1]|8|10983.6525845|16.3474154624|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
3|11000|149.956948602|99.5135729896|[0, 5, 0]|9|10850.7858194|149.214180598|39.8288066012|[0.0, 2.489300412575, 7.467901237725, 12.446502062875, 17.425102888025002, 22.403703713174998, 27.382304538325002, 32.360905363474998, 37.339506188625002]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|152.881059414|102.015274294|[0, 1, 0]|2|9645.14295058|2354.85704942|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|158.35848396|107.355539683|[0, 1, 1]|3|9507.35519414|2492.64480586|39.8288066012|[0.0, 9.9572016503, 29.8716049509]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|152.881059414|115.661419379|[0, 2, 0]|4|9645.14295058|2354.85704942|39.8288066012|[0.0, 6.6381344335333337, 19.9144033006, 33.190672167666669]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|155.771068491|101.257926146|[0, 2, 1]|5|9576.24907236|2423.75092764|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|150.212086368|104.193701582|[0, 3, 1]|6|11519.0564381|480.943561879|39.8288066012|[0.0, 3.9828806601200002, 11.948641980360001, 19.9144033006, 27.880164620840002, 35.845925941079997]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|149.030900877|105.319869506|[0, 4, 0]|7|11252.6667757|747.333224324|39.8288066012|[0.0, 3.3190672167666668, 9.9572016503, 16.595336083833335, 23.233470517366669, 29.8716049509, 36.509739384433331]|[1207.3654999999999, 484.33, 470.49199999999996]
3|12000|151.008230506|93.8391479756|[0, 4, 1]|8|10983.6525845|1016.34741546|39.8288066012|[0.0, 2.8449147572285716, 8.5347442716857138, 14.224573786142857, 19.9144033006, 25.604232815057145, 31.29406232951429, 36.983891843971435]|[1207.3654999999999, 484.33, 470.49199999999996]
