Attempted hybrid experiments

Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|156.110553588|56.4213029281|[1, 1, 1]|5|10764.6684716|9235.33152837|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|148.157295062|56.3576285264|[2, 2, 2]|10|14352.8912955|5647.10870449|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|107.073699699|55.9991640166|[2, 2, 2]|5|32294.0054149|7705.99458511|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|104.395720991|55.7569657699|[4, 4, 4]|10|33490.0796895|6509.92031049|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|63.9574994049|56.8349437653|[3, 3, 3]|5|53823.3423581|6176.65764185|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|66.0013059008|56.4842881199|[6, 6, 6]|10|52627.2680835|7372.73191648|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|35.2241721959|55.7369698659|[4, 4, 4]|5|75352.6793014|4647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|38.9936356047|57.035373277|[8, 8, 8]|10|71764.4564775|8235.54352247|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|35.2241721959|55.7606211707|[4, 4, 4]|5|75352.6793014|24647.3206986|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|29.7419924053|57.1602107167|[9, 9, 9]|10|81333.0506745|18666.9493255|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
4|20000|153.90836459|117.180478266|[1, 1, 1, 1]|5|10764.6684716|9235.33152837|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|20000|145.818717556|116.045402802|[2, 2, 2, 2]|10|14352.8912955|5647.10870449|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|40000|104.423536495|115.416786513|[2, 2, 2, 2]|5|32294.0054149|7705.99458511|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|40000|101.749484266|112.998282806|[4, 4, 4, 4]|10|33490.0796895|6509.92031049|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|60000|61.7685682102|115.383817079|[3, 3, 3, 3]|5|53823.3423581|6176.65764185|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
4|60000|63.7704371902|114.770524971|[6, 6, 6, 6]|10|52627.2680835|7372.73191648|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[615.7909999999999, 484.33, 470.49199999999996, 591.5745]
3|7500|178.265886275|56.9542006815|[0, 0, 0]|5|0.0|7500.0|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
