Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|180.191519813|83.7851061833|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|142.107783629|83.480762426|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.903012388|85.2384449969|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|132.670846058|86.5411142274|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|129.921493921|87.3988909495|[0, 13, 0]|20|Risk-based|19609.3733371|390.626662882|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|129.482763518|86.6588743948|[0, 34, 0]|50|Risk-based|19886.4288474|113.571152624|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|116.955872292|84.4806679903|[0, 1, 0]|2|Risk-based|28659.8533389|11340.1466611|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|95.4729407224|85.8511178683|[0, 3, 2]|5|Risk-based|35824.8166736|4175.18332642|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|90.4915182928|86.2874022221|[0, 6, 6]|10|Risk-based|38213.1377852|1786.86221485|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|89.1758024621|86.705330212|[0, 10, 9]|15|Risk-based|38895.5152456|1104.4847544|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|88.3625944471|86.9495036437|[0, 14, 12]|20|Risk-based|39218.7466742|781.253325764|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|40000|87.8678477911|84.4990431275|[0, 36, 32]|50|Risk-based|39772.8576948|227.142305248|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[723.0355, 719.5759999999999, 719.5759999999999]
3|60000|65.994714441|85.2439603825|[0, 1, 1]|2|Risk-based|57319.7066777|2680.29332227|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|60000|58.6795799018|85.7830874782|[2, 3, 3]|5|Risk-based|57388.6005559|2611.39944405|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|60000|58.3008867071|87.4003308094|[5, 7, 6]|10|Risk-based|57396.2554313|2603.74456869|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|60000|55.3461445913|86.0660495162|[8, 11, 10]|15|Risk-based|59445.5749199|554.425080101|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|60000|56.4677952758|83.7391185623|[10, 15, 14]|20|Risk-based|58900.6398832|1099.36011684|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|60000|55.0736346569|86.146232528|[28, 38, 36]|50|Risk-based|59738.0224029|261.977597052|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[723.0355, 719.5759999999999, 719.5759999999999]
3|80000|65.5419859524|85.1400395947|[0, 1, 1]|2|Risk-based|57319.7066777|22680.2933223|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
