Started 11/01/17 10:17:27 in McCain 321
Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|180.511202609|83.3492473453|83.3444655471|0.00478066049745|0.000572586992405|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|180.086066105|83.8711613845|83.8682068584|0.00295310390223|0.000537600305847|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|179.800033824|85.0530068213|85.0500284018|0.00297728169375|0.000537031416599|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|179.973473284|86.0974763221|86.094572996|0.00290218831771|0.000515413626545|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|179.788871951|84.8317057887|84.828649147|0.00305493507125|0.000617813684812|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|142.454882851|86.7342701422|86.7177649594|0.0165040449445|0.0122268514002|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|141.701835538|83.467645706|83.4561675128|0.0114636865216|0.00727125746982|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|142.251800591|84.9360025236|84.9228560628|0.0131450385891|0.00885333836993|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|141.832352645|85.4154856764|85.4032753228|0.0122092158346|0.00794482229753|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|142.417374917|86.5820242956|86.5661266865|0.015896186821|0.0116002199325|[0, 2, 0]|5|Risk-based|14329.9266694|5670.07333057|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|131.075601722|88.1781177902|88.1468630169|0.0312530666685|0.0239095602685|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.879142867|86.8789696734|86.8379849034|0.0409833477595|0.0335778324354|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.56506332|83.6713450219|83.6324002887|0.0389430265986|0.0315727824059|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|130.765896376|85.9772760049|85.936519075|0.0407552231852|0.0333349167418|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|131.257522183|86.5263018816|86.4878227842|0.0384776752228|0.0312121066452|[0, 6, 0]|10|Risk-based|19106.5688926|893.431107423|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|132.410043811|85.2911916323|85.2194751826|0.0717150274645|0.0612975282047|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
3|20000|132.293492651|85.598774954|85.5287916253|0.0699819064785|0.0594093849086|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.573|20000|132.658902941|84.3094080338|84.2595323788|0.0498742328175|0.0394638446728|[0, 9, 0]|15|Risk-based|18424.1914321|1575.80856787|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[723.0355, 719.5759999999999, 719.5759999999999]
