Started 11/28/17 23:46:38 in McCain 321
Landscape|Landowners|Budget|Expected Damage|Total Run Time|Second Stage Time|Create Model Time|Optimize Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner|Time Completed
Umpqua|3|20000|466.887031904|89.8444412271|89.8393764064|0.00506396732528|0.000599324785398|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:48:08
Umpqua|3|20000|466.283665912|90.7821976361|90.7791355899|0.00306090840797|0.000484124719861|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:49:39
Umpqua|3|20000|466.865916935|91.7867891409|91.7837728903|0.00301482838177|0.000496640282506|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:51:11
Umpqua|3|20000|466.425426899|91.5593455271|91.5563437832|0.00300117504071|0.000498346950167|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:52:42
Umpqua|3|20000|466.617746217|91.3044399243|91.3013622337|0.00307598397211|0.000493795836519|[0, 0, 0]|2|Risk-based|0.0|20000.0|39.8288066012|[0.0, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:54:13
Umpqua|3|20000|361.985522811|92.8035065193|92.7789276609|0.0245777206486|0.0201708203638|[0, 0, 2]|5|Risk-based|19221.3920229|778.607977059|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:55:46
Umpqua|3|20000|361.491042767|89.8680117294|89.8453520187|0.0226582884457|0.0181959214625|[0, 0, 2]|5|Risk-based|19221.3920229|778.607977059|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:57:16
Umpqua|3|20000|361.674020002|91.6732280452|91.6547004613|0.0185264460951|0.0141132880289|[0, 0, 2]|5|Risk-based|19221.3920229|778.607977059|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/28/17 23:58:48
Umpqua|3|20000|361.024750414|91.3421686569|91.3236197397|0.0185474949959|0.0141121502504|[0, 0, 2]|5|Risk-based|19221.3920229|778.607977059|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/29/17 00:00:19
Umpqua|3|20000|361.350737076|90.7569668306|90.7385860202|0.0183793882336|0.0139594034969|[0, 0, 2]|5|Risk-based|19221.3920229|778.607977059|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/29/17 00:01:50
Umpqua|3|20000|358.823835492|91.745762842|91.7095806348|0.0361813539165|0.0287459719087|[1, 0, 4]|10|Risk-based|19810.8174255|189.182574524|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/29/17 00:03:22
Umpqua|3|20000|358.827538929|90.3492601454|90.3140123386|0.0352463844956|0.0278260780522|[1, 0, 4]|10|Risk-based|19810.8174255|189.182574524|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/29/17 00:04:52
Umpqua|3|20000|359.001452582|91.0414322013|91.0057184744|0.0357123047609|0.0283346650081|[1, 0, 4]|10|Risk-based|19810.8174255|189.182574524|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[615.7909999999999, 581.1959999999999, 965.2004999999999]|11/29/17 00:06:23
