Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|138.232405727|56.7143317537|[0, 1, 1]|2|19014.7103883|985.289611715|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|134.981267983|55.9596204937|[1, 3, 0]|5|18067.4195628|1932.58043722|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|131.081859837|55.7643152559|[2, 6, 0]|10|19803.1625501|196.837449881|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|131.894828372|55.6152516484|[4, 6, 0]|15|19600.3083531|399.691646858|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|98.5981122557|56.2298553313|[1, 1, 0]|2|33689.1064488|6310.89355119|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|88.8415334393|57.6947266769|[3, 2, 1]|5|39631.2034451|368.796554851|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|87.7351098527|60.6399027768|[6, 5, 0]|10|39032.2094484|967.790551583|39.8288066012|[0.0, 2.2127114778444446, 6.6381344335333337, 11.063557389222222, 15.488980344911113, 19.9144033006, 24.339826256288887, 28.765249211977775, 33.190672167666662, 37.616095123355549]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|86.5513156721|58.0434927552|[9, 8, 0]|15|39530.3231235|469.676876528|39.8288066012|[0.0, 1.4224573786142858, 4.2673721358428569, 7.1122868930714285, 9.9572016503, 12.802116407528572, 15.647031164757145, 18.491945921985717, 21.33686067921429, 24.181775436442862, 27.026690193671435, 29.871604950900007, 32.71651970812858, 35.561434465357152, 38.406349222585717]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|83.9777313101|56.8014040198|[1, 1, 1]|2|43058.6738865|16941.3261135|39.8288066012|[0.0, 19.9144033006]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|56.4516100597|56.217783492|[4, 4, 0]|5|58955.9362854|1044.06371458|39.8288066012|[0.0, 4.97860082515, 14.93580247545, 24.89300412575, 34.850205776050004]|[1207.3654999999999, 484.33, 470.49199999999996]
