Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
3|20000|136.276667595|55.3421575711|[0, 1, 0]|2|19290.2859012|709.714098841|39.8288066012|[0.0, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|135.812789065|56.4806014302|[0, 3, 1]|5|19152.4981447|847.501855278|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|132.496718266|55.0626532447|[2, 4, 0]|10|19259.6663997|740.333600271|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[1207.3654999999999, 484.33, 470.49199999999996]
3|20000|130.716194686|55.3393304737|[3, 7, 0]|15|19949.6987355|50.3012644644|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|113.575332363|55.3589187682|[0, 1, 1]|2|38029.4207766|1970.57922343|39.8288066012|[0.0, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|89.0974625357|55.5623249953|[2, 3, 0]|5|38511.6779241|1488.3220759|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|86.2936554326|56.6138789175|[5, 6, 0]|10|39575.7055988|424.294401193|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[1207.3654999999999, 484.33, 470.49199999999996]
3|40000|85.6278897873|57.2521478431|[8, 9, 0]|15|39879.7135059|120.286494134|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|84.9374534733|61.5214721728|[1, 0, 0]|2|48087.9269965|11912.0730035|39.8288066012|[0.0, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|53.3840947151|57.2430342301|[3, 3, 2]|5|59903.2271109|96.7728890789|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|54.9328065101|62.0945210233|[6, 7, 6]|10|59554.9302822|445.06971785|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[1207.3654999999999, 484.33, 470.49199999999996]
3|60000|53.9699018387|55.9028925197|[11, 10, 6]|15|59593.2046589|406.795341062|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|48.3979209069|59.0498296175|[1, 1, 0]|2|67378.2128976|12621.7871024|39.8288066012|[0.0, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|34.3459495896|62.4687389422|[4, 3, 3]|5|76609.9925789|3390.00742111|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|30.758753272|57.7237084782|[9, 8, 7]|10|79809.7304784|190.269521633|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[1207.3654999999999, 484.33, 470.49199999999996]
3|80000|30.9113397788|58.5289325923|[13, 13, 13]|15|79966.1086464|33.891353613|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|26.0113921868|56.8040243257|[1, 1, 1]|2|86117.347773|13882.652227|39.8288066012|[0.0, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|26.0113921868|59.1443560453|[4, 4, 4]|5|86117.347773|13882.652227|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|26.0113921868|60.0523862078|[9, 9, 9]|10|86117.347773|13882.652227|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[1207.3654999999999, 484.33, 470.49199999999996]
3|100000|26.0113921868|58.2510484637|[14, 14, 14]|15|86117.347773|13882.652227|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[1207.3654999999999, 484.33, 470.49199999999996]
