,OwnerIdx,Amount,Decision
0,0,0.0,0
1,1,0.0,0
2,2,0.0,0
3,3,0.0,0
4,4,0.0,0
5,5,0.0,0
6,6,0.0,1
7,7,0.0,0
8,8,0.0,0
9,9,0.0,0
10,10,26.8707529059,1
11,11,198.032549934,0
12,12,2.94355067133,0
13,13,50.874697697,1
14,14,176.446438201,0
15,15,158.914059927,1
16,16,90.0806044982,0
17,17,155.062884187,0
18,18,192.55865234,0
19,19,166.188614895,0
20,20,386.047289785,0
21,21,297.299729941,0
22,22,281.633790285,0
23,23,355.291337764,1
24,24,383.778595888,0
25,25,213.196853758,1
26,26,211.669357149,0
27,27,216.930911478,1
28,28,374.416047906,0
29,29,283.953671867,1
30,30,590.543221272,1
31,31,435.278272193,0
32,32,444.984245606,0
33,33,524.475669011,1
34,34,443.24831578,0
35,35,555.507106552,0
36,36,497.595504714,1
37,37,513.249928838,0
38,38,564.018237855,0
39,39,564.866472633,1
40,40,785.770191334,0
41,41,773.830366472,0
42,42,745.651773316,0
43,43,750.716035138,0
44,44,612.304003596,1
45,45,699.175615352,1
46,46,786.503479616,1
47,47,722.27975226,0
48,48,719.979397357,1
49,49,736.804094244,1
50,50,859.083699009,0
51,51,900.056216972,1
52,52,853.249107297,1
53,53,868.919663478,0
54,54,809.67360186,0
55,55,915.799268388,0
56,56,814.689913304,0
57,57,857.27068689,1
58,58,982.69341349,1
59,59,895.031706462,0
60,60,1077.0278804,1
61,61,1165.86853373,0
62,62,1098.33180772,1
63,63,1061.76536707,1
64,64,1137.11089039,0
65,65,1026.23254993,1
66,66,1099.9484302,0
67,67,1130.07757548,1
68,68,1069.0950175,1
69,69,1169.62417439,0
70,70,1229.91271504,1
71,71,1263.78686366,0
72,72,1308.37179377,1
73,73,1300.22858944,1
74,74,1241.60570753,1
75,75,1254.91674175,1
76,76,1386.44336579,0
77,77,1294.72909511,1
78,78,1396.37023383,1
79,79,1383.95064634,1
80,80,1537.94029417,1
81,81,1420.6393597,1
82,82,1407.03374424,1
83,83,1511.44037633,1
84,84,1548.79357941,1
85,85,1451.98468697,0
86,86,1533.73699565,1
87,87,1472.40253994,1
88,88,1590.86606285,1
89,89,1425.27140284,1
90,90,1661.67502433,1
91,91,1723.18373265,1
92,92,1714.06636403,1
93,93,1751.29455188,0
94,94,1654.67324426,1
95,95,1726.90136531,1
96,96,1637.39587955,1
97,97,1739.93272276,0
98,98,1727.09422629,1
99,99,1714.13160904,0
100,100,1940.26720939,1
101,101,1848.26750913,1
102,102,1923.62420923,1
103,103,1918.09060108,1
104,104,1957.28796263,1
105,105,1830.6609429,1
106,106,1800.64283333,1
107,107,1823.16862832,0
108,108,1903.79184592,1
109,109,1872.23712529,1
